,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1320769642,0.0,2,7,-37.8159777,144.9383006,-37.8618349,144.905716,10348.0,2018-04-02,06:11:47,3391.2000000000003,7:08:18,8.19
ID5176560581,,9,3,-38.1109156,144.6541725,-37.8166176,144.9838127,45331.0,2018-05-04,20:06:43,10978.49999999999,23:09:41,949.45
ID1435629114,0.0,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-03-12,17:26:32,12681.060000000005,20:57:53,23.13
ID1954502097,0.0,3,1,-37.8254892,144.9846326,-37.8132241,144.9586233,3204.0,2018-07-02,10:59:25,828.6599999999997,11:13:13,3.49
ID3361123539,1.0,9,6,-38.1109156,144.6541725,-37.7907967,144.985865,47193.0,2018-02-23,21:17:10,11535.780000000008,0:29:25,71.1
ID1996697113,0.0,1,9,-37.8174395,144.9704191,-38.1109156,144.6541725,44041.0,2018-04-25,02:06:32,10596.72,5:03:08,24.38
ID3269588257,1.0,1,9,-37.8159809,144.9725503,-38.1109156,144.6541725,44294.0,2018-07-13,11:53:53,10706.699999999999,14:52:19,57.32
ID1519996982,0.0,1,5,-37.8153878,144.9632926,-37.8110018,144.9266089,4085.0,2018-05-07,07:22:44,1074.8400000000001,7:40:38,5.88
ID1785869208,,2,7,-37.8160079,144.9460463,-37.8618349,144.905716,9461.0,2018-04-17,18:07:55,3161.58,19:00:36,10.83
ID3920527385,,1,2,-37.8080269,144.97067,-37.8245911,144.9434375,3812.0,2018-05-22,12:00:44,978.5400000000004,12:17:02,16.06
ID3675600729,,6,8,-37.7874421,144.9804091,-37.807202,145.0266373,5789.0,2018-06-20,23:49:39,1492.6800000000005,0:14:31,20.34
ID1175535661,0.0,4,8,-37.8033457,145.018623,-37.8158343,145.04645,6035.0,2018-05-20,15:41:43,1816.3200000000002,16:11:59,13.96
ID3734075844,1.0,3,7,-37.8243928,144.9845817,-37.8618349,144.905716,8931.0,2018-06-23,03:00:07,2949.48,3:49:16,32.81
ID1141496370,,8,4,-37.8158343,145.04645,-37.8101377,144.9965834,4435.0,2018-04-16,21:09:02,1398.0,21:32:20,13.34
ID1266844312,0.0,1,5,-37.8252718,144.9532437,-37.8068155,144.9379825,2902.0,2018-02-09,23:55:20,731.9999999999999,0:07:32,12.86
ID1567920189,0.0,2,4,-37.814417,144.9388882,-37.8001821,145.0032238,6823.0,2018-05-01,11:10:17,1725.8999999999999,11:39:02,5.37
ID1627709889,0.0,7,4,-37.8618349,144.905716,-37.8169967,145.0109605,11788.0,2018-02-20,01:34:49,3713.9999999999986,2:36:43,16.13
ID5395963913,2.0,4,7,-37.7977508,145.0106106,-37.8618349,144.905716,13255.0,2018-02-19,12:35:00,4209.780000000002,13:45:09,377.53
ID3413456090,1.0,7,6,-37.8618349,144.905716,-37.7738026,144.9836466,16033.0,2018-07-17,09:41:55,5320.6799999999985,11:10:35,30.47
ID1595642135,0.0,1,8,-37.8048702,144.961308,-37.8158343,145.04645,9604.0,2018-07-14,23:40:01,2783.4000000000005,0:26:24,16.87
ID3340115440,,8,6,-37.8158343,145.04645,-37.773845,144.9836895,10698.0,2018-03-23,18:12:56,2735.16,18:58:31,23.39
ID1193876024,,1,7,-37.8115487,144.9361249,-37.8618349,144.905716,10522.0,2018-01-14,23:51:49,3427.9800000000005,0:48:56,20.52
ID3539022480,1.0,8,6,-37.807202,145.0266373,-37.7874325,144.9803767,5793.0,2018-03-02,21:34:49,1493.5200000000002,21:59:42,20.84
ID5236871544,2.0,5,2,-37.804452,144.9262237,-37.8136201,144.9408897,2198.0,2018-07-16,00:13:30,582.12,0:23:12,79.33
ID1649232786,0.0,9,6,-38.1109156,144.6541725,-37.7738026,144.9836466,51061.0,2018-02-28,01:17:06,12952.44000000001,4:52:58,27.47
ID3665146085,,5,8,-37.799597,144.9256581,-37.807202,145.0266373,9637.0,2018-03-03,14:12:59,2557.3199999999993,14:55:36,26.96
ID1174074379,0.0,7,6,-37.8618349,144.905716,-37.7874325,144.9803767,11633.0,2018-02-22,12:34:39,3645.299999999998,13:35:24,13.74
ID1701654182,0.0,6,3,-37.7908183,144.9857929,-37.8216043,144.9792165,4001.0,2018-06-24,09:56:06,967.8600000000001,10:12:13,8.53
ID1547036230,0.0,6,8,-37.7874421,144.9804091,-37.8158343,145.04645,8357.0,2018-05-27,13:53:08,2437.38,14:33:45,15.1
ID3154015790,,6,3,-37.7908183,144.9857929,-37.8114345,144.9830778,2434.0,2018-04-13,11:12:33,577.38,11:22:10,8.41
ID5557517527,2.0,2,9,-37.8137617,144.9378304,-38.1109156,144.6541725,42907.0,2018-04-16,20:52:06,10280.22,23:43:26,891.77
ID3931452501,1.0,1,2,-37.7997046,144.9550666,-37.81247,144.9362889,2766.0,2018-06-02,16:55:28,736.5600000000001,17:07:44,17.92
ID3127890704,1.0,4,6,-37.802017,145.006551,-37.7907967,144.985865,3019.0,2018-07-17,11:20:03,861.72,11:34:24,10.32
ID3701061512,1.0,9,5,-38.1109156,144.6541725,-37.8103636,144.9371884,42695.0,2018-02-20,11:44:54,10236.659999999998,14:35:30,55.52
ID1720032597,0.0,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-01-21,10:30:28,13173.359999999999,14:10:01,22.49
ID1177021580,,1,5,-37.8236214,144.9558887,-37.8054759,144.9268255,3804.0,2018-03-22,02:20:25,984.18,2:36:49,12.05
ID1530090820,0.0,6,3,-37.7738026,144.9836466,-37.81659,144.9715011,8444.0,2018-07-23,10:45:19,2600.2200000000007,11:28:39,5.51
ID5836452200,2.0,5,6,-37.7996759,144.9274691,-37.7874325,144.9803767,6242.0,2018-05-03,06:52:07,1626.3,7:19:13,150.01
ID1923806533,0.0,3,4,-37.8211522,144.9997379,-37.8067849,144.9982453,1860.0,2018-05-20,21:30:47,466.74000000000007,21:38:33,15.73
ID3294640028,,4,8,-37.8006623,144.9922529,-37.8158343,145.04645,5784.0,2018-07-05,00:27:37,1805.1600000000003,0:57:42,23.31
ID5191828965,,8,5,-37.807202,145.0266373,-37.8047601,144.9366538,8654.0,2018-03-28,23:37:44,2249.3999999999996,0:15:13,221.42
ID1502958025,,6,8,-37.7874325,144.9803767,-37.807202,145.0266373,5793.0,2018-02-19,03:33:43,1493.5200000000004,3:58:36,13.97
ID1568234692,0.0,2,9,-37.8249533,144.9498338,-38.1109156,144.6541725,43016.0,2018-04-25,03:19:14,10389.9,6:12:23,24.44
ID3213369474,1.0,1,2,-37.8103715,144.9725533,-37.8261394,144.9518326,3052.0,2018-05-01,17:45:18,794.7600000000001,17:58:32,13.61
