ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,Landsize,Age,Lattitude,Longtitude,train_station_id,distance_to_train_stat,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average
ID291519933,2/23 Foam St,ELWOOD,582500.0,u,8/10/2016,2,1.0,1.0,0.0,49.0,-37.885,144.991,19954,,21.5,0,1566.666666667,8895.333333333,491.0
ID777648929,6/210 Domain Rd,SOUTH YARRA,832000.0,u,15/10/2016,2,1.0,1.0,0.0,59.0,-37.8342,144.9842,19959,,12.5714,1,1100.666666667,3636.333333333,457.333333
ID436934525,52 Richardson St,THOMASTOWN,508000.0,h,15/07/2017,3,2.0,1.0,189.0,29.0,-37.68159,145.0371,20007,,40.2222,0,502.666666667,1662.666666667,118.666667
ID648123973,17 George St,NIDDRIE,875000.0,h,14/05/2016,4,3.0,1.0,321.0,69.0,-37.7424,144.8851,20037,,24.0,0,71.0,261.0,20.0
ID303786399,1/11 Brockley Rd,FAWKNER,400000.0,h,22/05/2016,3,1.0,1.0,285.0,49.0,-37.7161,144.9662,19962,,37.0,0,1144.333333333,6845.666666667,375.666667
ID617547678,11 Finsbury St,FLEMINGTON,1130000.0,h,8/10/2016,3,1.0,0.0,294.0,119.0,-37.7856,144.9292,20040,,18.0,0,1923.666666667,8979.333333333,620.333333
ID882289154,99 Weidlich Rd,ELTHAM NORTH,925000.0,h,27/05/2017,4,2.0,2.0,796.0,24.0,-37.69771,145.1349,19987,,47.9,1,318.333333333,497.0,140.666667
ID158548396,11/33 Carmichael St,IVANHOE EAST,485000.0,u,13/08/2016,2,1.0,1.0,0.0,84.0,-37.7699,145.0581,19934,,29.0,0,87.333333333,252.0,37.0
ID664160161,112 Belmore Rd,BALWYN,3020000.0,h,28/05/2016,5,3.0,2.0,715.0,10.0,-37.8028,145.0768,19893,,23.7692,0,925.666666667,4701.333333333,308.666667
ID751105870,168 Gatehouse St,PARKVILLE,1717500.0,h,19/11/2016,4,2.0,1.0,165.0,144.0,-37.7933,144.9556,19970,,22.3333,0,136.333333333,302.666666667,42.0
ID521458691,39 Kawarren St,BALWYN NORTH,1388800.0,h,10/09/2016,4,2.0,1.0,517.0,49.0,-37.783,145.0926,19935,,29.8235,0,925.666666667,4701.333333333,308.666667
ID574666811,92 Sarissa St,LALOR,795000.0,h,15/07/2017,4,2.0,2.0,499.0,44.0,-37.66641,144.98781,20006,,42.2222,0,1360.666666667,6408.666666667,691.666667
ID489725634,23/530 Toorak Rd,TOORAK,511000.0,u,27/06/2016,2,1.0,2.0,0.0,49.0,-37.8424,145.0184,19946,,18.2143,0,584.333333333,2731.666666667,211.666667
ID702426545,10 Bowen St,HUGHESDALE,1570000.0,h,12/08/2017,4,2.0,1.0,455.0,119.0,-37.9016,145.08293999999995,19917,,29.3548,0,591.666666667,1189.666666667,177.333333
ID327675251,1 Mendip Rd,RESERVOIR,1025000.0,h,27/11/2016,3,1.0,4.0,670.0,84.0,-37.7242,145.0154,20010,,34.2,0,824.666666667,1890.333333333,159.333333
ID297073611,21 Simpson St,NORTHCOTE,2775000.0,h,12/08/2017,3,1.0,2.0,901.0,36.0,-37.78062,145.00627,19929,,19.9231,0,142.0,344.666666667,39.333333
ID644945599,273 Glenlyon Rd,FITZROY NORTH,1222500.0,h,19/11/2016,2,1.0,2.0,487.0,79.0,-37.7737,144.9822,20017,,19.3,0,1923.666666667,8979.333333333,620.333333
ID948669988,10 Avon St,MOORABBIN,980000.0,h,4/03/2017,3,1.0,2.0,623.0,69.0,-37.9404,145.046,19872,,40.1667,0,84.333333333,293.333333333,23.0
ID761649908,7 Salvatore Ct,SUNSHINE WEST,600000.0,h,22/08/2016,3,2.0,2.0,579.0,20.0,-37.7968,144.7991,20020,,21.3333,0,2403.666666667,5212.333333333,586.666667
ID240022322,18 Achilles St,HEIDELBERG WEST,415000.0,h,28/05/2016,2,1.0,1.0,422.0,59.0,-37.7343,145.04399999999995,19936,,31.75,0,1150.666666667,7827.0,922.333333
ID140132871,215 Neerim Rd,CARNEGIE,950000.0,h,14/05/2016,3,1.0,1.0,586.0,49.0,-37.88800000000001,145.0505,19920,,23.4516,0,3703.666666667,18944.0,2039.333333
ID642322468,140 Essex St,WEST FOOTSCRAY,912500.0,h,3/12/2016,2,1.0,1.0,444.0,79.0,-37.7933,144.876,20023,,19.4,0,268.333333333,736.0,128.333333
ID530360996,20/30 Mona Pl,SOUTH YARRA,572000.0,u,4/06/2016,2,1.0,1.0,0.0,59.0,-37.8368,144.9857,19959,,12.5714,0,1100.666666667,3636.333333333,457.333333
ID798475871,6 Lock St,FAWKNER,752500.0,h,18/03/2017,4,1.0,2.0,0.0,69.0,-37.7106,144.9682,19962,,37.0,0,1253.666666667,7401.333333333,484.666667
ID525928130,14 Charles St,BENTLEIGH EAST,935000.0,t,19/11/2016,3,2.0,2.0,230.0,7.0,-37.9179,145.0592,19939,,35.0833,0,925.666666667,4701.333333333,308.666667
ID417659183,3 Sylvan Ct,IVANHOE,1851000.0,h,13/05/2017,3,2.0,2.0,618.0,59.0,-37.7817,145.0391,19932,,26.0,0,591.666666667,1189.666666667,177.333333
ID778210022,7 Londrew Ct,TULLAMARINE,540000.0,h,26/08/2017,3,1.0,1.0,607.0,49.0,-37.69423,144.88002,20031,,38.0,0,256.0,511.333333333,54.666667
ID915249992,1/233 Huntingdale Rd,OAKLEIGH,637000.0,u,26/07/2016,3,1.0,2.0,119.0,49.0,-37.9058,145.1043,19916,,31.3548,0,431.333333333,971.0,220.666667
ID259384329,2/2 Bellevue Tce,PASCOE VALE,495000.0,u,7/05/2016,2,1.0,2.0,205.0,29.0,-37.7317,144.9313,20034,,31.0,0,659.0,5219.333333333,338.333333
ID703043737,54a Hornby St,WINDSOR,1045000.0,h,4/03/2017,2,1.0,2.0,118.0,26.0,-37.855,144.9961,19957,,15.5,0,1064.666666667,4200.666666667,432.666667
ID425523975,8 Ferrars Pl,SOUTH MELBOURNE,4100000.0,h,27/05/2017,4,2.0,1.0,403.0,119.0,-37.83737,144.95799,20043,,0,0,1245.0,3886.0,447.666667
ID984460328,1/191 New St,BRIGHTON,900000.0,u,14/05/2016,2,2.0,1.0,118.0,49.0,-37.914,144.9914,19951,,26.5,0,2744.333333333,10289.666666667,780.0
ID968733200,241 Buckley St,ABERFELDIE,1380000.0,h,12/08/2017,4,2.0,2.0,766.0,139.0,-37.75595,144.90551000000005,20037,,24.0,0,817.666666667,1779.666666667,181.0
ID149031864,15 Carnon St,GREENSBOROUGH,895000.0,h,24/06/2017,3,2.0,2.0,1036.0,65.0,-37.69538,145.11543,19985,,41.6667,0,663.0,4010.0,377.0
ID375478471,7 Carbon Ct,WERRIBEE,531000.0,h,3/06/2017,3,2.0,1.0,805.0,14.0,-37.89568,144.65733,19921,,35.1429,0,98.666666667,190.666666667,19.0
ID869761745,26 Buninyong St,YARRAVILLE,1370000.0,h,20/05/2017,3,2.0,2.0,389.0,44.0,-37.8181,144.8882,19996,,11.3571,0,817.666666667,1779.666666667,181.0
ID385442365,1/14 Durward Rd,MALVERN EAST,1240000.0,t,18/03/2017,4,2.0,2.0,310.0,29.0,-37.8822,145.0837,19918,,27.3548,0,717.333333333,1763.0,318.666667
ID397470800,157 Swanston St,TEMPLESTOWE LOWER,990000.0,h,6/08/2016,4,2.0,2.0,652.0,46.0,-37.7573,145.0994,19936,,31.75,0,2403.666666667,5212.333333333,586.666667
ID141893090,581 Waterdale Rd,HEIDELBERG WEST,532000.0,h,27/05/2017,2,2.0,1.0,220.0,69.0,-37.73549000000001,145.0487,19936,,31.75,0,1173.666666667,8523.666666667,974.666667
